Title,Content,Source,Category,predicted_category,sentiment,PublishDate,ArticleUrl,ArticleLength,WordCount,Id
"Pozor na podvodné weby, podfukáři znovu útočí na klienty Fio banky",,novinky,,Uncategorized,neutral,2025-03-31 13:33:30,https://www.novinky.cz/clanek/internet-a-pc-bezpecnost-pozor-na-podvodne-weby-podfukari-znovu-utoci-na-klienty-fio-banky-40515356,0,0,11
Žena s nožem překvapila spícího muže. Za pokus o vraždu jí hrozí osmnáct let,,novinky,,Uncategorized,neutral,2025-03-31 13:33:35,https://www.novinky.cz/clanek/krimi-zena-s-nozem-prekvapila-spiciho-muze-za-pokus-vrazdy-ji-hrozi-osmnact-let-40515338,0,0,12
Streamovací služba Peacock chystá prequel Pátku třináctého,,novinky,,Uncategorized,neutral,2025-03-31 13:33:41,https://www.novinky.cz/clanek/kultura-tv-streaming-streamovaci-sluzba-peacock-chysta-prequel-patku-trinacteho-40514658,0,0,13
Musk před soudními volbami ve Wisconsinu předal voličům šeky na milion dolarů,,novinky,,Uncategorized,neutral,2025-03-31 13:33:45,https://www.novinky.cz/clanek/zahranicni-amerika-musk-pred-soudnimi-volbami-ve-wisconsinu-predal-volicum-seky-na-milion-dolaru-40515336,0,0,14
"Soud zastavil stíhání studentů, kteří výkřikem Alláhu akbar způsobili poprask na univerzitě v Plzni",,novinky,,Uncategorized,neutral,2025-03-31 13:33:49,https://www.novinky.cz/clanek/krimi-soud-zastavil-stihani-studentu-kteri-vykrikem-allahu-akbar-zpusobili-poprask-na-univerzite-v-plzni-40515337,0,0,15
Le Penová dostala 4 roky vězení a nesmí kandidovat na prezidentku,,novinky,,Uncategorized,neutral,2025-03-31 13:33:54,https://www.novinky.cz/clanek/zahranicni-evropa-marine-le-penova-zproneverila-unijni-penize-rozhodl-soud-40515316,0,0,16
Tři roky po osvobození ukrajinské Buči Rusko vězní 33 jejích obyvatel,,novinky,,Uncategorized,neutral,2025-03-31 13:33:58,https://www.novinky.cz/clanek/valka-na-ukrajine-tri-roky-po-osvobozeni-ukrajinske-buci-rusko-vezni-33-jejich-obyvatel-40515344,0,0,17
"Bazalka je sice primadona, ale i s tou ze supermarketu lze dělat zázraky a udržet ji dlouho živou",,novinky,,Uncategorized,neutral,2025-03-31 13:34:02,https://www.novinky.cz/clanek/bydleni-zahrada-bazalka-je-sice-primadona-ale-i-s-tou-ze-supermarketu-lze-delat-zazraky-a-udrzet-ji-dlouho-zivou-40515278,0,0,18
Velké finále vesmírné cesty Zero-G. Nadějní čeští kadeti absolvovali beztížný let,,novinky,,Uncategorized,neutral,2025-03-31 13:34:07,https://www.novinky.cz/clanek/veda-skoly-velke-finale-vesmirne-cesty-zero-g-nadejni-cesti-kadeti-absolvovali-beztizny-let-40515251,0,0,19
Kriminalisté na Sokolovsku řeší nadměrnou distribuci drog do vězeňských cel,,novinky,,Uncategorized,neutral,2025-03-31 13:34:12,https://www.novinky.cz/clanek/krimi-kriminaliste-na-sokolovsku-resi-nadmernou-distribuci-drog-do-vezenskych-cel-40515283,0,0,20
