Title,Content,Category,PublishDate,ArticleLength,WordCount,Source,ArticleUrl,ScrapedDate,Title_preprocessed,Content_preprocessed,predicted_category,sentiment,positive_words,negative_words,sentiment_ratio
"Pozor na podvodné weby, podfukáři znovu útočí na klienty Fio banky",,,2025-03-31 13:33:30,0,0,novinky,https://www.novinky.cz/clanek/internet-a-pc-bezpecnost-pozor-na-podvodne-weby-podfukari-znovu-utoci-na-klienty-fio-banky-40515356,2025-03-31 13:33:30,pozor na podvodne weby podfukari znovu utoci na klienty fio banky,,Uncategorized,neutral,0,0,1.0
Žena s nožem překvapila spícího muže. Za pokus o vraždu jí hrozí osmnáct let,,,2025-03-31 13:33:35,0,0,novinky,https://www.novinky.cz/clanek/krimi-zena-s-nozem-prekvapila-spiciho-muze-za-pokus-vrazdy-ji-hrozi-osmnact-let-40515338,2025-03-31 13:33:35,zena nozem prekvapila spiciho muze za pokus vrazdu ji hrozi osmnact let,,Uncategorized,neutral,0,0,1.0
Streamovací služba Peacock chystá prequel Pátku třináctého,,,2025-03-31 13:33:41,0,0,novinky,https://www.novinky.cz/clanek/kultura-tv-streaming-streamovaci-sluzba-peacock-chysta-prequel-patku-trinacteho-40514658,2025-03-31 13:33:41,streamovaci sluzba peacock chysta prequel patku trinacteho,,Uncategorized,neutral,0,0,1.0
Musk před soudními volbami ve Wisconsinu předal voličům šeky na milion dolarů,,,2025-03-31 13:33:45,0,0,novinky,https://www.novinky.cz/clanek/zahranicni-amerika-musk-pred-soudnimi-volbami-ve-wisconsinu-predal-volicum-seky-na-milion-dolaru-40515336,2025-03-31 13:33:45,musk pred soudnimi volbami ve wisconsinu predal volicum seky na milion dolaru,,Uncategorized,neutral,0,0,1.0
"Soud zastavil stíhání studentů, kteří výkřikem Alláhu akbar způsobili poprask na univerzitě v Plzni",,,2025-03-31 13:33:49,0,0,novinky,https://www.novinky.cz/clanek/krimi-soud-zastavil-stihani-studentu-kteri-vykrikem-allahu-akbar-zpusobili-poprask-na-univerzite-v-plzni-40515337,2025-03-31 13:33:49,soud zastavil stihani studentu kteri vykrikem allahu akbar zpusobili poprask na univerzite plzni,,Uncategorized,neutral,0,0,1.0
Le Penová dostala 4 roky vězení a nesmí kandidovat na prezidentku,,,2025-03-31 13:33:54,0,0,novinky,https://www.novinky.cz/clanek/zahranicni-evropa-marine-le-penova-zproneverila-unijni-penize-rozhodl-soud-40515316,2025-03-31 13:33:54,le penova dostala vezeni nesmi kandidovat na prezidentku,,Uncategorized,neutral,0,0,1.0
Tři roky po osvobození ukrajinské Buči Rusko vězní 33 jejích obyvatel,,,2025-03-31 13:33:58,0,0,novinky,https://www.novinky.cz/clanek/valka-na-ukrajine-tri-roky-po-osvobozeni-ukrajinske-buci-rusko-vezni-33-jejich-obyvatel-40515344,2025-03-31 13:33:58,tri roky po osvobozeni ukrajinske buci rusko vezni obyvatel,,Uncategorized,neutral,0,0,1.0
"Bazalka je sice primadona, ale i s tou ze supermarketu lze dělat zázraky a udržet ji dlouho živou",,,2025-03-31 13:34:02,0,0,novinky,https://www.novinky.cz/clanek/bydleni-zahrada-bazalka-je-sice-primadona-ale-i-s-tou-ze-supermarketu-lze-delat-zazraky-a-udrzet-ji-dlouho-zivou-40515278,2025-03-31 13:34:02,bazalka je sice primadona ale tou ze supermarketu lze delat zazraky udrzet ji dlouho zivou,,Uncategorized,neutral,0,0,1.0
Velké finále vesmírné cesty Zero-G. Nadějní čeští kadeti absolvovali beztížný let,,,2025-03-31 13:34:07,0,0,novinky,https://www.novinky.cz/clanek/veda-skoly-velke-finale-vesmirne-cesty-zero-g-nadejni-cesti-kadeti-absolvovali-beztizny-let-40515251,2025-03-31 13:34:07,velke finale vesmirne cesty zero nadejni cesti kadeti absolvovali beztizny let,,Uncategorized,neutral,0,0,1.0
Kriminalisté na Sokolovsku řeší nadměrnou distribuci drog do vězeňských cel,,,2025-03-31 13:34:12,0,0,novinky,https://www.novinky.cz/clanek/krimi-kriminaliste-na-sokolovsku-resi-nadmernou-distribuci-drog-do-vezenskych-cel-40515283,2025-03-31 13:34:12,kriminaliste na sokolovsku resi nadmernou distribuci drog do vezenskych cel,,Uncategorized,neutral,0,0,1.0
iRozhlas,"Fotbalová asociace ČR (FAČR) podepsala smlouvu se Spartou Praha o využití areálu na Strahově, kde letenský prvoligový klub vybuduje na vlastní náklady nový stadion. Aréna, která bude zároveň sloužit zápasům české reprezentace, se začne stavět do pěti let. FAČR a Sparta podepsaly smlouvu na pondělní tiskové konferenci v Praze.

Praha
13:16 31. března 2025 


Sdílet na Facebooku




 

Sdílet na Twitteru




 

Sdílet na LinkedIn




 

Tisknout




 


Kopírovat url adresu




 

Zkrácená adresa





Kopírovat do schránky




 




Zavřít

Sparta se vloni stala vítězem mezinárodní soutěže o využití areálu chátrajícího stadionu Evžena Rošického, jehož vlastníkem je FAČR.

Když Sparta postaví nový stadion ze soukromých zdrojů, tak nám to hodně pomůže, říká šéf NSA Šebek

Číst článek

Součástí smlouvy s asociací je povinnost poskytnout stadion nejméně ke třem zápasům reprezentace za rok. Sparta za možnost vybudovat novou arénu zaplatí FAČR celkem téměř 1,8 miliardy korun.

„Je to jeden z nejdůležitějších projektů českého fotbalu. Tato věc se táhla více než osm let, takže když jsme jako nové vedení asociace před čtyřmi lety nastoupili, stanovili jsme si vyřešení této problematiky jako jeden z hlavních cílů. Povedlo se nám to rychle a ku prospěchu celého českého fotbalu,“ uvedl předseda FAČR Petr Fousek.

Sparta počítá, že nový stadion bude mít kapacitu 35 tisíc diváků. Aréna se tak stane největší v Česku. Do roku 2030 by měli Letenští získat stavební povolení, nejpozději za dalších pět let by měl být stadion hotov.

Částku v podobě stavebního platu bude Sparta vyplácet postupně po dobu 30 let, kdy bude na pozemku v nájmu. Sumu 95 milionů korun vyplatí úřadující ligový mistr asociaci do měsíce po podpisu smlouvy jako poplatek za exkluzivitu.

Roční stavební plat bude činit přes 32 milionů korun, v celkové částce 1,784 miliardy korun je zahrnuta předpokládaná inflace i úspora za pořádání reprezentačních utkání.

Místopředseda představenstva Sparty František Čupr odhadl, že výstavba vyjde zhruba na čtyři a půl miliardy korun. Nová aréna nebude takzvaným národním stadionem, protože nebude financována ze státních zdrojů. Po uplynutí 30 let budou pozemky bezplatně převedeny na letenský klub.

Sokolské slety i koncert Rolling Stones. Strahovský stadion se na dva dny otevře veřejnosti

Číst článek

Stadion Evžena Rošického je v havarijním stavu a od předloňska už neslouží ani pro tréninky reprezentačních výběrů. Náklady v řádu jednotek milionů korun ročně na jeho údržbu hradí asociace coby vlastník.

Sparta bude muset v budoucnu opustit Letnou, neboť tamní stadion s kapacitou 18.349 míst pomalu přestává stačit současným požadavkům.

Největší fotbalová aréna v Česku nyní stojí v Edenu, domovský stadion Slavie pojme 19 370 diváků. Sparta už využívá jinou část strahovského areálu, na ploše bývalého spartakiádního stadionu má tréninkové centrum.

ČTK


Sdílet na Facebooku




 

Sdílet na Twitteru




 

Sdílet na LinkedIn




 

Tisknout




 


Kopírovat url adresu




 

Zkrácená adresa





Kopírovat do schránky




 




Zavřít",,2025-03-31 13:34:20,3071,447,irozhlas,https://www.irozhlas.cz/sport/fotbal/stadion-straho-facr-sparta-rekonstrukce-dohoda_2503311254_mim,2025-03-31 13:34:20,irozhlas,fotbalova asociace cr facr podepsala smlouvu se spartou praha vyuziti arealu na strahove kde letensky prvoligovy klub vybuduje na vlastni naklady novy stadion arena ktera bude zaroven slouzit zapasum ceske reprezentace se zacne stavet do peti let facr sparta podepsaly smlouvu na pondelni tiskove konferenci praze praha brezna na facebooku sdilet na twitteru sdilet na linkedin tisknout kopirovat url adresu zkracena adresa kopirovat do schranky zavrit sparta se vloni stala vitezem mezinarodni souteze vyuziti arealu chatrajiciho stadionu evzena rosickeho jehoz vlastnikem je facr kdyz sparta postavi novy stadion ze soukromych zdroju tak nam to hodne pomuze rika sef nsa sebek cist clanek soucasti smlouvy asociaci je povinnost poskytnout stadion nejmene ke trem zapasum reprezentace za rok sparta za moznost vybudovat novou arenu zaplati facr celkem temer korun je to jeden nejdulezitejsich projektu ceskeho fotbalu tato vec se tahla vice nez osm let takze kdyz jsme jako nove vedeni asociace pred ctyrmi lety nastoupili stanovili jsme si vyreseni teto problematiky jako jeden hlavnich cilu povedlo se nam to rychle ku prospechu celeho ceskeho fotbalu uvedl predseda facr petr fousek sparta pocita ze novy stadion bude mit kapacitu divaku arena se tak stane nejvetsi cesku do roku meli letensti ziskat stavebni povoleni nejpozdeji za dalsich pet let by mel byt stadion hotov castku podobe stavebniho platu bude sparta vyplacet postupne po dobu kdy bude na pozemku najmu sumu korun vyplati uradujici ligovy mistr asociaci do mesice po podpisu smlouvy jako poplatek za exkluzivitu rocni stavebni plat bude cinit pres korun celkove castce korun je zahrnuta predpokladana inflace uspora za poradani reprezentacnich utkani mistopredseda predstavenstva sparty frantisek cupr odhadl ze vystavba vyjde zhruba na ctyri pul miliardy korun nova arena nebude takzvanym narodnim stadionem protoze nebude financovana ze statnich zdroju po uplynuti budou pozemky bezplatne prevedeny na letensky klub sokolske slety koncert rolling stones strahovsky stadion se na dva dny otevre verejnosti cist clanek stadion evzena rosickeho je havarijnim stavu od predlonska uz neslouzi ani pro treninky reprezentacnich vyberu naklady radu jednotek milionu korun rocne na jeho udrzbu hradi asociace coby vlastnik sparta bude muset budoucnu opustit letnou nebot tamni stadion kapacitou pomalu prestava stacit soucasnym pozadavkum nejvetsi fotbalova arena cesku nyni stoji edenu domovsky stadion slavie pojme divaku sparta uz vyuziva jinou cast strahovskeho arealu na plose byvaleho spartakiadniho stadionu ma treninkove centrum ctk sdilet na facebooku sdilet na twitteru sdilet na linkedin tisknout kopirovat url adresu zkracena adresa kopirovat do schranky zavrit,Uncategorized,neutral,0,0,1.0
